N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-29T20:58:59.126935,108430,4641,1393,4641,936,4641,293,4641,44,9120,2,1.0283509000146296
4,0,,2026-07-29T20:59:00.156370,107691,4594,1424,4594,916,4594,289,4594,29,9205,1,1.0290794000029564
4,0,,2026-07-29T20:59:01.183879,108517,4697,1397,4697,925,4697,257,4697,37,9188,2,1.0270228000008501
4,0,,2026-07-29T20:59:02.211527,107716,4671,1389,4671,918,4671,283,4671,38,9211,0,1.0273143000085838
4,0,,2026-07-29T20:59:03.240787,108639,4648,1451,4648,943,4648,312,4648,34,9097,1,1.0289236000098754
4,0,,2026-07-29T20:59:04.269101,108632,4722,1412,4722,944,4722,304,4722,55,9201,3,1.0279327999742236
4,0,,2026-07-29T20:59:05.297778,107957,4737,1396,4737,945,4737,299,4737,33,9044,1,1.0284180000016931
4,0,,2026-07-29T20:59:06.327869,107631,4656,1409,4656,952,4656,294,4656,42,8982,1,1.0296637999999803
4,0,,2026-07-29T20:59:07.357409,108260,4623,1409,4623,942,4623,269,4623,39,9198,0,1.0292229000187945
4,0,,2026-07-29T20:59:08.385794,109009,4605,1420,4605,943,4605,284,4605,40,9288,2,1.0279693999909796
4,0,,2026-07-29T20:59:09.415618,108147,4658,1449,4658,948,4658,274,4658,35,9157,1,1.0293769999989308
4,0,,2026-07-29T20:59:10.444884,107840,4559,1399,4559,923,4559,275,4559,27,9132,2,1.0287601000163704
4,0,,2026-07-29T20:59:11.473944,107742,4710,1464,4710,948,4710,279,4710,36,9148,1,1.0288624000095297
4,0,,2026-07-29T20:59:12.503296,108482,4685,1452,4685,932,4685,254,4685,41,9096,1,1.028927700011991
4,0,,2026-07-29T20:59:13.533754,108191,4579,1365,4579,947,4579,267,4579,46,9213,2,1.030026899999939
4,0,,2026-07-29T20:59:14.562989,109174,4775,1482,4775,918,4775,340,4775,42,9494,5,1.0285366000025533
4,0,,2026-07-29T20:59:15.591405,107720,4547,1395,4547,928,4547,284,4547,32,9252,1,1.0280023999803234
4,0,,2026-07-29T20:59:16.621708,108030,4570,1401,4570,910,4570,280,4570,34,9014,2,1.0298114999895915
4,0,,2026-07-29T20:59:17.650272,108155,4615,1384,4615,894,4615,312,4615,35,9150,3,1.0282327000168152
4,0,,2026-07-29T20:59:18.678309,107819,4641,1403,4641,924,4641,277,4641,33,9090,2,1.0276254999917
4,0,,2026-07-29T20:59:19.706689,108374,4765,1454,4765,938,4765,311,4765,29,9045,0,1.0279494999849703
4,0,,2026-07-29T20:59:20.733640,107454,4823,1457,4823,962,4823,294,4823,41,9094,0,1.0264595999906305
4,0,,2026-07-29T20:59:21.762597,107569,4715,1406,4715,982,4715,255,4715,41,8998,0,1.028641399985645
4,0,,2026-07-29T20:59:22.790751,107981,4801,1442,4801,954,4801,317,4801,40,9143,0,1.0277957000071183
4,0,,2026-07-29T20:59:23.818939,108123,4650,1380,4650,924,4650,284,4650,31,9103,0,1.0276477000152227
